,name,country_name,grass_Win%,Ace%,SPW,DF%,1st%,2nd%,Hld%,Pts/SG
89,Alexander Zverev,Germany,71.43%,14.50%,72.90%,3.30%,80.10%,56.80%,95.70%,5.9
90,Grigor Dimitrov,Bulgaria,71.43%,15.00%,71.30%,4.90%,83.90%,53.20%,92.00%,5.8
91,Grigor Dimitrov,Bulgaria,71.43%,15.00%,71.30%,4.90%,83.90%,53.20%,92.00%,5.8
92,Jan Lennard Struff,Germany,71.43%,19.70%,69.60%,5.80%,81.20%,52.10%,90.60%,6.3
93,Jan Lennard Struff,Germany,71.43%,19.70%,69.60%,5.80%,81.20%,52.10%,90.60%,6.3
94,Daniil Medvedev,Russian Federation,70.00%,11.00%,66.70%,4.50%,76.20%,47.30%,84.10%,6.2
95,Daniil Medvedev,Russian Federation,70.00%,11.00%,66.70%,4.50%,76.20%,47.30%,84.10%,6.2
96,Alex De Minaur,Australia,66.67%,5.70%,67.90%,3.60%,74.10%,59.50%,87.10%,6.2
97,Alex De Minaur,Australia,66.67%,5.70%,67.90%,3.60%,74.10%,59.50%,87.10%,6.2
98,Hubert Hurkacz,Poland,66.67%,20.50%,73.00%,2.20%,81.40%,55.30%,95.80%,6.0
99,Hubert Hurkacz,Poland,66.67%,20.50%,73.00%,2.20%,81.40%,55.30%,95.80%,6.0
100,Lorenzo Musetti,Italy,66.67%,8.00%,66.50%,6.20%,77.00%,50.00%,88.70%,6.6
101,Lorenzo Musetti,Italy,66.67%,8.00%,66.50%,6.20%,77.00%,50.00%,88.70%,6.6
102,Jiri Lehecka,Czech Republic,62.50%,10.40%,69.60%,2.90%,76.50%,56.20%,89.80%,6.2
103,Jiri Lehecka,Czech Republic,62.50%,10.40%,69.60%,2.90%,76.50%,56.20%,89.80%,6.2
104,Roman Safiullin,Russian Federation,62.50%,9.20%,69.20%,4.10%,75.20%,58.20%,86.10%,6.0
105,Roman Safiullin,Russian Federation,62.50%,9.20%,69.20%,4.10%,75.20%,58.20%,86.10%,6.0
106,Cameron Norrie,United Kingdom,60.00%,6.90%,64.20%,3.20%,73.70%,47.30%,83.80%,6.3
107,Cameron Norrie,United Kingdom,60.00%,6.90%,64.20%,3.20%,73.70%,47.30%,83.80%,6.3
108,Sebastian Korda,United States,60.00%,16.80%,69.30%,4.30%,80.30%,51.70%,87.10%,6.0
109,Sebastian Korda,United States,60.00%,16.80%,69.30%,4.30%,80.30%,51.70%,87.10%,6.0
110,Tommy Paul,United States,58.33%,8.80%,66.30%,3.90%,74.20%,53.40%,84.70%,6.2
111,Tommy Paul,United States,58.33%,8.80%,66.30%,3.90%,74.20%,53.40%,84.70%,6.2
112,Laslo Djere,Serbia,57.14%,8.10%,68.60%,3.10%,78.00%,52.60%,87.20%,6.6
113,Laslo Djere,Serbia,57.14%,8.10%,68.60%,3.10%,78.00%,52.60%,87.20%,6.6
114,Nicolas Jarry,Chile,57.14%,12.70%,68.40%,2.60%,76.00%,51.20%,87.70%,6.2
115,Nicolas Jarry,Chile,57.14%,12.70%,68.40%,2.60%,76.00%,51.20%,87.70%,6.2
116,Yannick Hanfmann,Germany,57.14%,8.70%,68.20%,2.50%,71.20%,62.10%,86.40%,5.9
117,Yannick Hanfmann,Germany,57.14%,8.70%,68.20%,2.50%,71.20%,62.10%,86.40%,5.9
118,Mackenzie Mcdonald,United States,54.55%,6.90%,63.60%,3.40%,70.90%,52.20%,79.20%,6.3
119,Mackenzie Mcdonald,United States,54.55%,6.90%,63.60%,3.40%,70.90%,52.20%,79.20%,6.3
120,Stefanos Tsitsipas,Greece,50.00%,10.40%,71.90%,2.20%,79.40%,57.60%,91.60%,6.1
121,Stefanos Tsitsipas,Greece,50.00%,10.40%,71.90%,2.20%,79.40%,57.60%,91.60%,6.1
122,Taylor Fritz,United States,42.86%,11.90%,67.60%,3.00%,76.40%,54.00%,85.40%,6.2
123,Taylor Fritz,United States,42.86%,11.90%,67.60%,3.00%,76.40%,54.00%,85.40%,6.2
124,Ugo Humbert,France,42.86%,10.80%,61.80%,5.20%,72.20%,48.10%,76.50%,6.5
125,Ugo Humbert,France,42.86%,10.80%,61.80%,5.20%,72.20%,48.10%,76.50%,6.5
126,Alejandro Davidovich Fokina,Spain,40.00%,4.10%,65.70%,1.90%,67.50%,61.80%,83.80%,6.7
127,Alejandro Davidovich Fokina,Spain,40.00%,4.10%,65.70%,1.90%,67.50%,61.80%,83.80%,6.7
128,Aleksandar Vukic,Australia,40.00%,11.20%,67.40%,2.40%,74.30%,57.00%,84.00%,6.3
129,Aleksandar Vukic,Australia,40.00%,11.20%,67.40%,2.40%,74.30%,57.00%,84.00%,6.3
130,Aslan Karatsev,Russian Federation,40.00%,8.00%,64.10%,6.70%,73.30%,50.20%,83.50%,6.7
131,Aslan Karatsev,Russian Federation,40.00%,8.00%,64.10%,6.70%,73.30%,50.20%,83.50%,6.7
132,Ben Shelton,United States,40.00%,13.90%,69.10%,5.00%,78.30%,51.90%,88.60%,6.1
133,Ben Shelton,United States,40.00%,13.90%,69.10%,5.00%,78.30%,51.90%,88.60%,6.1
134,Lorenzo Sonego,Italy,33.33%,10.90%,68.10%,2.10%,74.60%,51.90%,87.20%,6.1
135,Lorenzo Sonego,Italy,33.33%,10.90%,68.10%,2.10%,74.60%,51.90%,87.20%,6.1
